"did","charging","charge","overdischarge_voltage","battery_full_voltage","battery_overload","overload","load_on","battery_full","pv_voltage","over_discharge","charge_current","battery_temperature","load_current","battery_voltage","load_short","date"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Tue Feb 03 2015 14:40:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Tue Feb 03 2015 15:00:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Tue Feb 03 2015 15:20:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Tue Feb 03 2015 15:40:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Tue Feb 03 2015 16:00:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Tue Feb 03 2015 16:20:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Tue Feb 03 2015 16:40:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Tue Feb 03 2015 17:00:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Tue Feb 03 2015 17:20:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Tue Feb 03 2015 17:40:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Tue Feb 03 2015 18:00:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Tue Feb 03 2015 18:20:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Tue Feb 03 2015 18:40:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Tue Feb 03 2015 19:00:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Tue Feb 03 2015 19:20:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Tue Feb 03 2015 19:40:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Tue Feb 03 2015 20:00:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Tue Feb 03 2015 20:20:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Tue Feb 03 2015 20:40:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Tue Feb 03 2015 21:00:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Tue Feb 03 2015 21:20:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Tue Feb 03 2015 21:40:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Tue Feb 03 2015 22:00:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Tue Feb 03 2015 22:20:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Tue Feb 03 2015 22:40:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Tue Feb 03 2015 23:00:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Tue Feb 03 2015 23:20:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Tue Feb 03 2015 23:40:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 00:00:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 00:20:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 00:40:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 01:00:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 01:20:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 01:40:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 02:00:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 02:20:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 02:40:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 03:00:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 03:20:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 03:40:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 04:00:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 04:20:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 04:40:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 05:00:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 05:20:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 05:40:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 06:00:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 06:20:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 06:40:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 07:00:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 07:20:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 07:40:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 08:00:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 08:20:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 08:40:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 09:00:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 09:20:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 09:40:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 10:00:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 10:20:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 10:40:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 11:00:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 11:20:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 11:40:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 12:00:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 12:20:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 12:40:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 13:00:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 13:20:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 13:40:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 14:00:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 14:20:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 14:40:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 15:00:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 15:20:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 15:40:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 16:00:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 16:20:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 16:40:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 17:00:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 17:20:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 17:40:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 18:00:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 18:20:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 18:40:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 19:00:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 19:20:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 19:40:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 20:00:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 20:20:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 20:40:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 21:00:00 GMT-0500 (EST)"
tidbase4,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Wed Feb 04 2015 21:20:00 GMT-0500 (EST)"
